Codigo;Local;HM;HM-15:19;HM-20:24;HM-25:29;HM-30:34;HM-35:39;HM-40:44;HM-45:49;HM-50:54;HM-55:59;HM-60:64;HM-65+;H;H-15:19;H-20:24;H-25:29;H-30:34;H-35:39;H-40:44;H-45:49;H-50:54;H-55:59;H-60:64;H-65+;M;M-15:19;M-20:24;M-25:29;M-30:34;M-35:39;M-40:44;M-45:49;M-50:54;M-55:59;M-60:64;M-65+
1507;Montijo;3462;182;436;423;490;458;397;367;317;264;128;0;1793;90;229;227;230;224;202;190;167;154;80;0;1669;92;207;196;260;234;195;177;150;110;48;0
1508;Palmela;4188;235;528;480;480;538;477;459;410;338;240;3;2044;129;269;215;218;211;220;218;224;189;151;0;2144;106;259;265;262;327;257;241;186;149;89;3
1510;Seixal;11283;676;1603;1313;1365;1377;1198;1160;1091;978;515;7;5589;338;837;645;637;639;583;588;534;487;298;3;5694;338;766;668;728;738;615;572;557;491;217;4
1511;Sesimbra;3098;170;418;379;379;447;340;350;281;214;117;3;1408;81;207;181;161;196;144;143;133;104;56;2;1690;89;211;198;218;251;196;207;;;;
1512;Setúbal;9100;442;1195;1035;1125;1148;970;968;951;800;457;9;4456;237;597;508;515;527;466;488;452;411;251;4;4644;205;598;527;610;621;504;480;499;389;206;5
18;Alentejo;43963;1977;5934;5502;5327;5016;4919;4748;4558;3809;2152;21;21640;1092;2917;2654;2405;2256;2301;2302;2358;2146;1202;7;22323;885;3017;2848;2922;2760;2618;2446;2200;1663;950;14
181;Alentejo Litoral;4927;202;673;619;540;513;505;525;569;483;293;5;2300;117;318;257;218;214;227;228;271;273;175;2;2627;85;355;362;322;299;278;297;298;210;118;3
0211;Odemira;1574;52;173;178;171;157;194;196;194;175;84;0;776;34;91;78;65;57;98;93;100;112;48;0;798;18;82;100;106;100;96;103;94;63;36;0
1501;Alcácer do Sal;660;38;111;82;74;65;46;60;68;73;43;0;324;22;48;37;32;32;22;31;40;35;25;0;336;16;63;45;42;33;24;29;28;38;18;0
1505;Grândola;697;30;104;90;81;70;64;72;74;54;57;1;324;17;41;32;34;31;26;30;43;31;39;0;373;13;63;58;47;39;38;42;31;23;18;1
1509;Santiago do Cacém;1296;45;178;185;129;141;133;128;155;123;76;3;555;25;80;73;53;57;50;48;63;61;44;1;741;20;98;112;76;84;83;80;92;62;32;2
1513;Sines;700;37;107;84;85;80;68;69;78;58;33;1;321;19;58;37;34;37;31;26;25;34;19;1;379;18;49;47;51;43;37;43;53;24;14;0
186;Alto Alentejo;7920;365;1172;1042;952;854;862;884;828;640;318;3;3915;194;558;524;449;361;408;429;455;371;166;0;4005;171;614;518;503;493;454;455;373;269;152;3
0707;Mora;283;14;41;40;24;24;26;24;36;31;23;0;119;11;21;20;8;5;5;4;20;14;11;0;164;3;20;20;16;19;21;20;16;17;12;0
1201;Alter do Chão;190;14;30;27;29;13;20;19;12;16;10;0;93;7;14;14;14;7;10;9;5;10;3;0;97;7;16;13;15;6;10;10;7;6;7;0
1202;Arronches;186;10;26;32;13;18;26;19;22;12;8;0;111;6;16;17;9;7;15;13;14;11;3;0;75;4;10;15;4;11;11;6;8;1;5;0
1203;Avis;296;11;52;21;30;36;34;36;35;23;17;1;129;4;20;11;12;16;17;16;15;12;6;0;167;7;32;10;18;20;17;20;20;11;11;1
1204;Campo Maior;582;43;91;83;70;72;69;44;47;32;30;1;283;27;39;48;32;30;38;12;23;13;21;0;299;16;52;35;38;42;31;32;24;19;9;1
1205;Castelo de Vide;133;2;28;21;17;16;13;10;9;12;5;0;66;2;9;15;7;8;7;5;5;5;3;0;67;0;19;6;10;8;6;5;4;7;2;0
1206;Crato;172;4;25;20;18;21;12;24;17;18;13;0;90;2;12;10;8;10;7;14;9;11;7;0;82;2;13;10;10;11;5;10;8;7;6;0
1207;Elvas;1877;88;325;278;256;238;214;186;139;110;43;0;923;39;157;144;138;108;94;91;73;61;18;0;954;49;168;134;118;130;120;95;66;49;25;0
1208;Fronteira;225;16;24;33;36;13;18;36;17;19;13;0;99;8;14;13;13;7;6;16;10;7;5;0;126;8;10;20;23;6;12;20;7;12;8;0
1209;Gavião;251;12;32;27;29;23;29;34;33;23;9;0;127;3;13;16;14;6;15;20;19;16;5;0;124;9;19;11;15;17;14;14;14;7;4;0
1210;Marvão;136;10;26;21;10;11;18;12;9;11;8;0;80;7;11;14;7;4;12;7;6;7;5;0;56;3;15;7;3;7;6;5;3;4;3;0
1211;Monforte;198;18;30;27;30;21;15;16;22;12;7;0;103;8;17;15;13;8;11;8;14;8;1;0;95;10;13;12;17;13;4;8;8;4;6;0
1212;Nisa;327;11;43;40;42;34;48;35;30;31;13;0;178;7;15;24;22;16;26;22;14;23;9;0;149;4;28;16;20;18;22;13;16;8;4;0
1213;Ponte de Sor;1550;55;138;144;166;157;153;236;263;171;67;0;772;31;55;56;71;58;64;121;164;109;43;0;778;24;83;88;95;99;89;115;99;62;24;0
1214;Portalegre;1514;57;261;228;182;157;167;153;137;119;52;1;742;32;145;107;81;71;81;71;64;64;26;0;772;25;116;121;101;86;86;82;73;55;26;1
187;Alentejo Central;8571;443;1272;1170;1084;1031;982;891;773;602;320;3;4162;224;628;568;461;495;463;421;398;320;183;1;4409;219;644;602;623;536;519;470;375;282;137;2
0701;Alandroal;381;13;46;43;45;51;55;31;46;32;19;0;181;6;25;18;16;31;26;11;22;16;10;0;200;7;21;25;29;20;29;20;24;16;9;0
0702;Arraiolos;348;15;53;42;44;37;41;39;31;29;17;0;148;5;25;25;21;11;13;16;12;12;8;0;200;10;28;17;23;26;28;23;19;17;9;0
0703;Borba;455;17;61;62;44;73;51;56;39;40;12;0;225;10;28;36;15;38;24;23;21;24;6;0;230;7;33;26;29;35;27;33;18;16;6;0
0704;Estremoz;693;38;126;99;88;67;95;60;62;30;28;0;321;22;56;50;34;29;35;33;28;16;18;0;372;16;70;49;54;38;60;27;34;14;10;0
0705;Évora;2926;157;424;412;381;362;349;296;238;206;100;1;1469;81;212;203;171;173;176;147;134;112;60;0;1457;76;212;209;210;189;173;149;104;94;40;1
0706;Montemor-o-Novo;653;33;107;98;76;68;67;61;69;46;28;0;312;12;54;46;31;40;27;30;32;27;13;0;341;21;53;52;45;28;40;31;37;19;15;0
0708;Mourão;250;21;42;35;38;30;24;26;18;10;6;0;114;10;26;16;16;13;10;10;8;3;2;0;136;11;16;19;22;17;14;16;10;7;4;0
0709;Portel;428;17;53;56;50;44;48;48;48;42;22;0;230;11;24;28;26;25;28;24;28;22;14;0;198;6;29;28;24;19;20;24;20;20;8;0
0710;Redondo;409;24;59;50;50;42;44;56;36;30;17;1;199;12;26;23;19;24;24;27;19;17;7;1;210;12;33;27;31;18;20;29;17;13;10;0
0711;Reguengos de Monsaraz;629;24;93;77;89;82;63;70;61;42;28;0;315;13;53;32;40;33;35;37;32;22;18;0;314;11;40;45;49;49;28;33;29;20;10;0
0712;Vendas Novas;443;31;69;56;64;55;39;40;38;36;14;1;214;16;34;28;28;22;23;16;20;20;7;0;229;15;35;28;36;33;16;24;18;16;7;1
0713;Viana do Alentejo;252;7;49;33;33;31;34;21;22;14;8;0;117;3;23;15;13;11;18;10;10;9;5;0;135;4;26;18;20;20;16;11;12;5;3;0
0714;Vila Viçosa;436;27;55;76;46;54;49;58;44;16;11;0;199;14;25;38;18;24;17;26;21;7;9;0;237;13;30;38;28;30;32;32;23;9;2;0
1215;Sousel;268;19;35;31;36;35;23;29;21;29;10;0;118;9;17;10;13;21;7;11;11;13;6;0;150;10;18;21;23;14;16;18;10;16;4;0
184;Baixo Alentejo;7974;348;1130;987;940;893;933;887;769;701;382;4;3879;195;550;470;435;402;411;444;383;383;205;1;4095;153;580;517;505;491;522;443;386;318;177;3
0201;Aljustrel;573;31;74;67;65;62;71;62;57;64;19;1;265;19;36;33;26;29;34;28;18;30;12;0;308;12;38;34;39;33;37;34;39;34;7;1
0202;Almodôvar;393;19;45;42;38;28;48;42;37;50;44;0;151;10;18;13;8;9;15;14;15;26;23;0;242;9;27;29;30;19;33;28;22;24;21;0
0203;Alvito;107;4;19;19;14;10;5;5;10;11;10;0;54;1;8;6;8;4;4;4;4;9;6;0;53;3;11;13;6;6;1;1;6;2;4;0
0204;Barrancos;129;4;22;16;11;12;25;18;14;6;1;0;51;1;9;6;4;6;9;7;7;2;0;0;78;3;13;10;7;6;16;11;7;4;1;0
0205;Beja;1915;102;304;285;252;234;212;178;183;105;60;0;977;58;155;146;123;103;93;101;100;63;35;0;938;44;149;139;129;131;119;77;83;42;25;0
0206;Castro Verde;338;14;51;44;37;40;45;34;36;21;16;0;142;10;24;18;13;13;21;13;14;11;5;0;196;4;27;26;24;27;24;21;22;10;11;0
0207;Cuba;314;11;51;31;50;33;39;35;28;29;7;0;158;4;22;15;26;20;13;19;16;19;4;0;156;7;29;16;24;13;26;16;12;10;3;0
0208;Ferreira do Alentejo;604;21;88;72;82;57;52;81;56;58;37;0;307;15;40;34;32;28;26;45;29;34;24;0;297;6;48;38;50;29;26;36;27;24;13;0
0209;Mértola;329;12;61;35;31;36;29;44;34;27;20;0;161;9;34;15;16;20;9;18;14;13;13;0;168;3;27;20;15;16;20;26;20;14;7;0
0210;Moura;1253;56;172;159;150;138;147;127;116;126;60;2;612;25;86;81;76;57;72;63;59;64;28;1;641;31;86;78;74;81;75;64;57;62;32;1
0212;Ourique;278;6;28;29;34;28;38;33;25;33;23;1;115;3;7;13;9;10;18;18;14;15;8;0;163;3;21;16;25;18;20;15;11;18;15;1
0213;Serpa;1377;55;161;139;140;168;186;186;140;136;66;0;669;33;77;62;72;78;77;91;71;72;36;0;708;22;84;77;68;90;109;95;69;64;30;0
0214;Vidigueira;364;13;54;49;36;47;36;42;33;35;19;0;217;7;34;28;22;25;20;23;22;25;11;0;147;6;20;21;14;22;16;19;11;10;8;0
185;Lezíria do Tejo;14571;619;1687;1684;1811;1725;1637;1561;1619;1383;839;6;7384;362;863;835;842;784;792;780;851;799;473;3;7187;257;824;849;969;941;845;781;768;584;366;3
1103;Azambuja;1183;50;136;147;176;141;122;125;143;103;40;0;627;30;68;66;87;70;75;66;84;56;25;0;556;20;68;81;89;71;47;59;59;47;15;0
1403;Almeirim;1547;59;173;175;189;198;183;141;161;140;127;1;802;41;91;89;92;93;85;66;90;84;70;1;745;18;82;86;97;105;98;75;71;56;57;0
1404;Alpiarça;482;18;31;58;53;48;52;62;54;58;47;1;274;11;17;32;25;29;30;34;33;33;29;1;208;7;14;26;28;19;22;28;21;25;18;0
1405;Benavente;2012;89;243;229;252;262;229;226;219;175;88;0;976;52;123;98;104;122;113;107;101;103;53;0;1036;37;120;131;148;140;116;119;118;72;35;0
1406;Cartaxo;1400;70;176;163;177;172;151;152;168;102;69;0;739;44;90;87;91;76;66;82;96;66;41;0;661;26;86;76;86;96;85;70;72;36;28;0
1407;Chamusca;520;15;64;68;60;51;47;75;54;54;31;1;274;7;33;37;20;22;30;41;30;36;18;0;246;8;31;31;40;29;17;34;24;18;13;1
1409;Coruche;1107;28;127;97;117;93;118;103;144;174;105;1;483;14;43;42;47;31;51;37;66;92;60;0;624;14;84;55;70;62;67;66;78;82;45;1
1412;Golegã;268;13;40;36;29;31;39;29;25;21;5;0;131;6;23;17;10;13;17;14;13;15;3;0;137;7;17;19;19;18;22;15;12;6;2;0
1414;Rio Maior;1125;52;155;153;138;135;124;114;96;102;56;0;553;34;85;74;63;46;58;55;55;54;29;0;572;18;70;79;75;89;66;59;41;48;27;0
1415;Salvaterra de Magos;1764;61;152;154;198;217;213;224;225;197;122;1;837;36;82;83;98;95;91;103;94;94;60;1;927;25;70;71;100;122;122;121;131;103;62;0
1416;Santarém;3163;164;390;404;422;377;359;310;330;257;149;1;1688;87;208;210;205;187;176;175;189;166;85;0;1475;77;182;194;217;190;183;135;141;91;64;1
15;Algarve;34770;1525;4302;4228;4385;4399;4172;3964;3415;2750;1625;5;18294;865;2313;2112;2134;2198;2118;2100;1915;1575;963;1;16476;660;1989;2116;2251;2201;2054;1864;1500;1175;662;4
150;Algarve;34770;1525;4302;4228;4385;4399;4172;3964;3415;2750;1625;5;18294;865;2313;2112;2134;2198;2118;2100;1915;1575;963;1;16476;660;1989;2116;2251;2201;2054;1864;1500;1175;662;4
0801;Albufeira;3871;160;455;469;520;489;471;458;398;296;155;0;1840;96;243;209;223;216;209;197;203;164;80;0;2031;64;212;260;297;273;262;261;195;132;75;0
0802;Alcoutim;83;2;13;8;11;11;8;10;8;5;7;0;53;2;10;2;5;7;6;7;6;5;3;0;30;0;3;6;6;4;2;3;2;0;4;0
0803;Aljezur;274;11;40;41;34;29;30;30;25;25;9;0;145;5;22;21;16;18;13;17;15;12;6;0;129;6;18;20;18;11;17;13;10;13;3;0
0804;Castro Marim;494;21;60;60;39;60;65;65;58;46;20;0;279;12;34;26;23;30;39;39;32;31;13;0;215;9;26;34;16;30;26;26;26;15;7;0
0805;Faro;4362;185;568;583;566;545;500;471;403;327;214;0;2390;107;285;321;290;290;248;262;258;198;131;0;1972;78;283;262;276;255;252;209;145;129;83;0
0806;Lagoa;1943;80;270;199;227;220;210;237;207;183;110;0;1025;43;150;100;112;107;110;117;122;96;68;0;918;37;120;99;115;113;100;120;85;87;42;0
0807;Lagos;2364;95;320;271;295;302;291;278;239;191;81;1;1266;54;174;145;141;155;156;155;126;112;48;0;1098;41;146;126;154;147;135;123;113;79;33;1
0808;Loulé;5310;251;684;632;670;674;620;620;529;398;231;1;2715;135;362;299;313;325;292;321;296;233;139;0;2595;116;322;333;357;349;328;299;233;165;92;1
0809;Monchique;359;15;50;36;43;40;35;44;37;28;31;0;199;5;27;15;20;26;18;29;24;19;16;0;160;10;23;21;23;14;17;15;13;9;15;0
0810;Olhão;3750;213;459;479;480;513;468;375;329;273;160;1;2026;115;245;240;259;266;248;211;188;161;93;0;1724;98;214;239;221;247;220;164;141;112;67;1
0811;Portimão;4784;192;516;576;602;616;618;529;470;407;257;1;2460;109;292;278;289;300;306;280;246;218;142;0;2324;83;224;298;313;316;312;249;224;189;115;1
0812;São Brás de Alportel;613;20;83;80;59;85;81;65;52;56;32;0;361;14;52;47;25;46;50;37;30;39;21;0;252;6;31;33;34;39;31;28;22;17;11;0
0813;Silves;2727;138;275;303;377;323;328;344;274;234;131;0;1427;86;146;151;175;147;170;179;162;132;79;0;1300;52;129;152;202;176;158;165;112;102;52;0
0814;Tavira;1800;59;240;213;210;215;226;205;185;141;106;0;1014;37;129;120;116;108;122;123;95;85;79;0;786;22;111;93;94;107;104;82;90;56;27;0
0815;Vila do Bispo;260;9;37;31;34;28;25;38;22;23;13;0;133;4;17;17;19;16;17;18;8;12;5;0;127;5;20;14;15;12;8;20;14;11;8;0
0816;Vila Real de Santo António;1776;74;232;247;218;249;196;195;179;117;68;1;961;41;125;121;108;141;114;108;104;58;40;1;815;33;107;126;110;108;82;87;75;59;28;0
2;Região Autónoma dos Açores;12793;1283;2741;2201;1683;1438;1139;1027;729;407;142;3;7194;700;1392;1204;931;803;674;618;479;290;102;1;5599;583;1349;997;752;635;465;409;250;117;40;2
20;Região Autónoma dos Açores;12793;1283;2741;2201;1683;1438;1139;1027;729;407;142;3;7194;700;1392;1204;931;803;674;618;479;290;102;1;5599;583;1349;997;752;635;465;409;250;117;40;2
200;Região Autónoma dos Açores  ;12793;1283;2741;2201;1683;1438;1139;1027;729;407;142;3;7194;700;1392;1204;931;803;674;618;479;290;102;1;5599;583;1349;997;752;635;465;409;250;117;40;2
4101;Vila do Porto;219;19;37;46;33;22;24;16;13;9;0;0;106;14;10;22;17;11;13;6;8;5;0;0;113;5;27;24;16;11;11;10;5;4;0;0
4201;Lagoa (R.A.A.);904;103;206;163;120;110;62;71;39;22;8;0;572;64;129;91;76;58;44;51;32;20;7;0;332;39;77;72;44;52;18;20;7;2;1;0
4202;Nordeste;225;12;41;39;31;40;15;18;12;14;3;0;96;5;17;14;12;14;5;15;6;7;1;0;129;7;24;25;19;26;10;3;6;7;2;0
4203;Ponta Delgada;4009;412;853;671;519;482;375;328;211;127;30;1;2397;214;470;412;312;301;239;204;133;91;21;0;1612;198;383;259;207;181;136;124;78;36;9;1
4204;Povoação;390;30;71;62;57;49;42;43;21;12;3;0;196;17;36;23;26;24;20;23;13;11;3;0;194;13;35;39;31;25;22;20;8;1;0;0
4205;Ribeira Grande;2037;250;484;368;271;220;154;136;102;33;18;1;1152;142;220;213;138;128;102;91;80;25;12;1;885;108;264;155;133;92;52;45;22;8;6;0
4206;Vila Franca do Campo;707;50;158;116;98;92;67;53;40;22;11;0;423;24;84;53;57;53;44;43;35;20;10;0;284;26;74;63;41;39;23;10;5;2;1;0
4301;Angra do Heroísmo;1571;147;307;293;209;155;144;127;107;62;20;0;849;70;141;154;118;84;85;69;71;41;16;0;722;77;166;139;91;71;59;58;36;21;4;0
4302;Vila da Praia da Vitória;1023;109;231;164;112;94;89;88;70;42;23;1;521;68;103;86;61;38;44;44;39;22;16;0;502;41;128;78;51;56;45;44;31;20;7;1
4401;Santa Cruz da Graciosa;184;22;33;28;17;19;15;22;16;7;5;0;83;9;14;13;9;7;4;10;9;5;3;0;101;13;19;15;8;12;11;12;7;2;2;0
4501;Calheta (R.A.A.);103;5;22;12;11;16;12;13;6;5;1;0;49;3;8;8;4;11;5;5;3;2;0;0;54;2;14;4;7;5;7;8;3;3;1;0
4502;Velas;214;16;37;41;31;14;25;20;16;10;4;0;112;11;20;21;14;7;11;11;8;8;1;0;102;5;17;20;17;7;14;9;8;2;3;0
4601;Lajes do Pico;135;8;28;23;22;11;15;13;8;3;4;0;66;8;13;9;10;4;7;5;5;2;3;0;69;0;15;14;12;7;8;8;3;1;1;0
4602;Madalena;182;14;40;38;21;19;17;11;8;9;5;0;89;8;18;16;11;11;8;2;3;8;4;0;93;6;22;22;10;8;9;9;5;1;1;0
4603;São Roque do Pico;111;8;23;21;19;7;13;7;9;3;1;0;57;4;9;13;10;3;7;4;6;1;0;0;54;4;14;8;9;4;6;3;3;2;1;0
4701;Horta;641;64;145;101;89;71;56;52;38;19;6;0;350;34;82;47;45;40;27;30;24;16;5;0;291;30;63;54;44;31;29;22;14;3;1;0
4801;Lajes das Flores;36;3;9;7;3;3;2;2;5;2;0;0;15;1;7;2;2;1;1;0;0;1;0;0;21;2;2;5;1;2;1;2;5;1;0;0
4802;Santa Cruz das Flores;86;9;13;5;15;13;12;7;6;6;0;0;51;3;10;4;6;7;8;5;3;5;0;0;35;6;3;1;9;6;4;2;3;1;0;0
4901;Corvo;16;2;3;3;5;1;0;0;2;0;0;0;10;1;1;3;3;1;0;0;1;0;0;0;6;1;2;0;2;0;0;0;1;0;0;0
3;Região Autónoma da Madeira;18676;977;2978;2853;2471;2312;2136;2043;1563;952;387;4;11061;543;1585;1569;1469;1385;1297;1266;1025;647;271;4;7615;434;1393;1284;1002;927;839;777;538;305;116;0
30;Região Autónoma da Madeira;18676;977;2978;2853;2471;2312;2136;2043;1563;952;387;4;11061;543;1585;1569;1469;1385;1297;1266;1025;647;271;4;7615;434;1393;1284;1002;927;839;777;538;305;116;0
300;Região Autónoma da Madeira;18676;977;2978;2853;2471;2312;2136;2043;1563;952;387;4;11061;543;1585;1569;1469;1385;1297;1266;1025;647;271;4;7615;434;1393;1284;1002;927;839;777;538;305;116;0
3101;Calheta (R.A.M.);547;15;89;90;89;71;56;67;41;23;6;0;294;11;35;45;51;40;27;39;26;15;5;0;253;4;54;45;38;31;29;28;15;8;1;0
3102;Câmara de Lobos;2946;250;539;438;393;384;297;292;183;120;49;1;1901;126;289;273;262;272;206;202;135;97;38;1;1045;124;250;165;131;112;91;90;48;23;11;0
3103;Funchal;7822;365;1215;1249;944;925;886;886;718;436;196;2;4560;188;671;686;564;523;528;525;455;288;130;2;3262;177;544;563;380;402;358;361;263;148;66;0
3104;Machico;1684;65;246;220;221;224;200;205;172;97;33;1;1074;47;142;117;139;145;128;142;124;67;22;1;610;18;104;103;82;79;72;63;48;30;11;0
3105;Ponta do Sol;557;47;103;67;79;76;60;60;39;22;4;0;294;26;40;32;43;39;29;40;27;15;3;0;263;21;63;35;36;37;31;20;12;7;1;0
3106;Porto Moniz;122;4;16;16;18;7;19;14;14;11;3;0;74;2;6;8;10;6;13;10;10;7;2;0;48;2;10;8;8;1;6;4;4;4;1;0
3107;Ribeira Brava;734;44;111;107;120;97;94;62;60;29;10;0;445;26;56;62;72;59;57;37;44;23;9;0;289;18;55;45;48;38;37;25;16;6;1;0
3108;Santa Cruz;2994;139;464;445;446;377;376;301;245;146;55;0;1682;88;234;230;243;204;222;179;151;91;40;0;1312;51;230;215;203;173;154;122;94;55;15;0
3109;Santana;468;21;64;76;63;49;61;58;29;34;13;0;278;10;34;43;37;33;36;32;20;23;10;0;190;11;30;33;26;16;25;26;9;11;3;0
3110;São Vicente;251;11;44;46;26;13;32;37;21;15;6;0;164;7;32;24;15;9;22;25;15;11;4;0;87;4;12;22;11;4;10;12;6;4;2;0
3201;Porto Santo;551;16;87;99;72;89;55;61;41;19;12;0;295;12;46;49;33;55;29;35;18;10;8;0;256;4;41;50;39;34;26;26;23;9;4;0